code,kind,version_or_term,source_url,local_path,status,sha256,notes
MN162,ficha-1,assinada em 2019,https://bio.ufpr.br/fisioterapia/wp-content/uploads/sites/20/2024/12/MN162___ORGANIZACAO_DO_SISTEMA_DE_SAUDE_BRASILEIRO.pdf,curriculos/2023/fichas/outros-departamentos/MN162-ficha-1.pdf,downloaded,cfcb6de27917d0edb92c0b5f10093aafcd4843b079e30abf53d912ab3f705135,Ficha anterior à Resolução 75/22; cotejo necessário
BQ083,ficha-1,renderizada em 2022-06-09; assinada em 2022-04-05,https://bio.ufpr.br/bioquimica/wp-content/uploads/sites/31/2021/12/BQ083-FICHA-1.pdf,curriculos/2023/fichas/outros-departamentos/BQ083-ficha-1.pdf,downloaded,65c7e762dd3e2587bee40187a0fdb690d60fd9f085b737b566b2439e95af5109,Data interna do PDF prevalece sobre diretório URL; vigência 2023 precisa ser confirmada
BF114,ficha-1,arquivo publicado em diretório 2024/12,https://bio.ufpr.br/fisiologia/wp-content/uploads/sites/37/2024/12/1141.pdf,curriculos/2023/fichas/outros-departamentos/BF114-ficha-1.pdf,downloaded,405e9838e92b73ca318b66a9c5d47a7aed8e382bb64ee6d5b340bb3110e2300f,Vigência precisa ser confirmada
MN129,ficha-2,2022.1,https://saude.ufpr.br/enfermagem/wp-content/uploads/sites/4/2022/10/MN129_metodologia-da-pesquisa-e-bioetica-em-saude-1_2022.pdf,curriculos/2023/fichas/outros-departamentos/MN129-ficha-2-2022-1.pdf,downloaded,26d23f09c1250d85e14c1b37bb4616998cada9bfe47a8c5550f10226a333df2c,Plano de ensino anterior ao início da matriz 2023
