source_worksheet,source_cell,source_row,source_workbook,workbook_sha256,tipo_quest,qtd_resp,class_quest,Urgência,Atenção ,Aprimoramento,Manutenção,structural_status
criterio_analise,A2:G2,2,administracao/historico/fontes/documentos/cpa-avaliacao-curso-informatica-biomedica-2022.xlsx,4c968ff6e4c32b9d023cfd4f783c0a38b3474bbcde231c383587a9198771cf40,A,6,objetiva,Péssimo + Ruim,Não sei responder,Regular,Bom + Excelente,literal source criterion; not applied or interpreted
criterio_analise,A3:G3,3,administracao/historico/fontes/documentos/cpa-avaliacao-curso-informatica-biomedica-2022.xlsx,4c968ff6e4c32b9d023cfd4f783c0a38b3474bbcde231c383587a9198771cf40,B,2,sim/não,,,,,literal source criterion; not applied or interpreted
criterio_analise,A4:G4,4,administracao/historico/fontes/documentos/cpa-avaliacao-curso-informatica-biomedica-2022.xlsx,4c968ff6e4c32b9d023cfd4f783c0a38b3474bbcde231c383587a9198771cf40,C,6,objetiva,2 + 4,Não utilizei o serviço,6,8 + 10,literal source criterion; not applied or interpreted
criterio_analise,A5:G5,5,administracao/historico/fontes/documentos/cpa-avaliacao-curso-informatica-biomedica-2022.xlsx,4c968ff6e4c32b9d023cfd4f783c0a38b3474bbcde231c383587a9198771cf40,D,5,objetiva,Péssimo + Ruim,,Regular,Bom + Excelente,literal source criterion; not applied or interpreted
criterio_analise,A6:G6,6,administracao/historico/fontes/documentos/cpa-avaliacao-curso-informatica-biomedica-2022.xlsx,4c968ff6e4c32b9d023cfd4f783c0a38b3474bbcde231c383587a9198771cf40,E,,aberta,,,,,literal source criterion; not applied or interpreted
